iter	Passed	Remaining
0	152	152188
1	154	76850
2	155	51824
3	158	39414
4	160	31866
5	161	26755
6	163	23161
7	164	20419
8	166	18280
9	167	16559
10	168	15165
11	169	13994
12	171	13000
13	173	12185
14	174	11483
15	176	10830
16	177	10255
17	178	9743
18	180	9315
19	181	8907
20	183	8534
21	184	8198
22	185	7892
23	187	7618
24	188	7354
25	189	7113
26	191	6886
27	192	6683
28	193	6490
29	195	6306
30	196	6135
31	197	5980
32	199	5834
33	200	5692
34	201	5556
35	202	5430
36	204	5324
37	205	5209
38	206	5100
39	208	5000
40	210	4914
41	211	4832
42	213	4744
43	214	4661
44	216	4601
45	218	4527
46	219	4455
47	221	4395
48	223	4330
49	224	4266
50	226	4208
51	228	4165
52	230	4111
53	231	4054
54	232	3999
55	235	3962
56	236	3912
57	237	3861
58	239	3813
59	240	3775
60	242	3729
61	243	3684
62	244	3641
63	246	3599
64	247	3560
65	248	3522
66	250	3484
67	251	3446
68	252	3410
69	254	3379
70	255	3343
71	256	3308
72	257	3273
73	259	3241
74	260	3210
75	261	3179
76	262	3147
77	263	3116
78	264	3087
79	266	3063
80	267	3035
81	268	3008
82	269	2976
83	270	2949
84	271	2927
85	273	2902
86	274	2877
87	275	2853
88	276	2830
89	278	2810
90	279	2789
91	280	2769
92	281	2749
93	283	2732
94	284	2713
95	286	2695
96	287	2674
97	288	2654
98	290	2639
99	291	2620
100	292	2602
101	293	2583
102	294	2565
103	295	2547
104	297	2532
105	298	2515
106	299	2498
107	300	2480
108	301	2465
109	302	2451
110	304	2435
111	305	2419
112	306	2404
113	307	2389
114	309	2379
115	310	2364
116	311	2349
117	312	2334
118	313	2320
119	314	2308
120	315	2295
121	316	2280
122	317	2266
123	319	2254
124	320	2241
125	321	2231
126	322	2218
127	323	2206
128	324	2194
129	326	2182
130	327	2172
131	328	2161
132	330	2151
133	331	2140
134	332	2130
135	334	2122
136	335	2112
137	336	2102
138	337	2091
139	338	2080
140	340	2073
141	341	2061
142	342	2051
143	343	2041
144	344	2031
145	345	2022
146	347	2014
147	348	2004
148	349	1995
149	350	1986
150	351	1977
151	352	1968
152	354	1960
153	355	1952
154	356	1945
155	358	1938
156	359	1930
157	360	1922
158	362	1914
159	363	1907
160	364	1898
161	365	1892
162	366	1884
163	368	1877
164	369	1870
165	371	1864
166	372	1857
167	373	1850
168	374	1843
169	376	1836
170	377	1830
171	378	1823
172	380	1816
173	381	1809
174	382	1803
175	383	1796
176	384	1789
177	386	1782
178	387	1775
179	388	1768
180	389	1762
181	390	1756
182	391	1749
183	393	1742
184	394	1736
185	395	1729
186	396	1723
187	397	1717
188	398	1711
189	399	1704
190	401	1698
191	402	1693
192	403	1686
193	404	1680
194	405	1674
195	406	1668
196	408	1664
197	409	1658
198	410	1652
199	411	1646
200	412	1640
201	414	1637
202	415	1632
203	416	1626
204	418	1621
205	419	1615
206	420	1611
207	421	1606
208	423	1601
209	424	1595
210	425	1590
211	426	1585
212	428	1581
213	429	1576
214	430	1571
215	431	1566
216	432	1562
217	434	1557
218	435	1552
219	436	1546
220	437	1542
221	438	1538
222	440	1534
223	441	1529
224	442	1524
225	443	1519
226	445	1516
227	446	1511
228	447	1506
229	448	1502
230	449	1497
231	451	1493
232	452	1489
233	453	1484
234	454	1480
235	455	1476
236	457	1472
237	458	1468
238	459	1463
239	460	1459
240	462	1455
241	463	1451
242	464	1447
243	465	1443
244	467	1439
245	468	1435
246	469	1432
247	471	1428
248	472	1424
249	473	1420
250	474	1416
251	476	1413
252	477	1409
253	478	1405
254	479	1401
255	480	1397
256	482	1394
257	483	1391
258	484	1387
259	486	1383
260	487	1379
261	488	1375
262	489	1372
263	490	1368
264	492	1364
265	493	1360
266	494	1357
267	496	1355
268	497	1351
269	498	1348
270	500	1345
271	501	1342
272	502	1339
273	504	1335
274	505	1332
275	506	1329
276	508	1326
277	509	1323
278	510	1320
279	512	1316
280	513	1313
281	514	1310
282	515	1306
283	517	1303
284	518	1300
285	519	1297
286	521	1294
287	522	1291
288	523	1288
289	525	1285
290	526	1283
291	527	1280
292	529	1277
293	530	1274
294	531	1270
295	532	1267
296	534	1264
297	535	1261
298	536	1257
299	537	1254
300	539	1251
301	540	1248
302	541	1245
303	542	1242
304	543	1238
305	545	1236
306	546	1233
307	547	1230
308	548	1227
309	550	1224
310	551	1221
311	552	1218
312	553	1215
313	555	1213
314	556	1210
315	557	1207
316	558	1204
317	559	1200
318	561	1197
319	562	1194
320	563	1192
321	564	1189
322	565	1185
323	566	1182
324	568	1180
325	569	1177
326	570	1174
327	571	1171
328	573	1168
329	574	1165
330	575	1163
331	576	1160
332	578	1157
333	579	1154
334	580	1151
335	581	1149
336	582	1146
337	583	1143
338	584	1140
339	585	1137
340	587	1135
341	588	1132
342	589	1130
343	591	1127
344	592	1124
345	593	1121
346	595	1120
347	596	1117
348	597	1114
349	598	1111
350	599	1108
351	600	1106
352	602	1103
353	603	1100
354	604	1097
355	605	1095
356	606	1092
357	607	1090
358	609	1087
359	610	1084
360	611	1081
361	612	1079
362	613	1076
363	614	1074
364	616	1071
365	617	1069
366	618	1066
367	619	1064
368	620	1061
369	621	1059
370	623	1056
371	624	1054
372	626	1052
373	627	1050
374	628	1047
375	629	1045
376	630	1042
377	632	1040
378	633	1037
379	634	1035
380	635	1032
381	637	1030
382	638	1028
383	639	1026
384	640	1023
385	642	1021
386	643	1018
387	644	1016
388	645	1013
389	646	1011
390	647	1008
391	648	1006
392	649	1003
393	651	1001
394	652	998
395	653	996
396	654	993
397	655	991
398	656	988
399	657	986
400	658	983
401	659	981
402	660	978
403	662	976
404	663	974
405	664	971
406	665	969
407	666	966
408	667	964
409	668	962
410	669	959
411	670	957
412	671	955
413	673	952
414	674	950
415	675	948
416	676	945
417	677	943
418	678	940
419	679	938
420	680	936
421	682	934
422	683	931
423	684	929
424	685	927
425	686	925
426	687	922
427	688	920
428	689	918
429	690	915
430	692	913
431	693	911
432	694	909
433	695	907
434	696	904
435	697	902
436	699	901
437	700	899
438	701	896
439	702	894
440	704	892
441	705	890
442	706	888
443	708	886
444	709	884
445	710	882
446	712	880
447	713	879
448	714	877
449	716	875
450	717	873
451	719	872
452	721	870
453	722	868
454	724	867
455	725	865
456	726	863
457	728	861
458	729	859
459	731	858
460	732	856
461	733	854
462	735	852
463	737	851
464	738	849
465	739	847
466	741	845
467	742	844
468	743	842
469	745	840
470	746	838
471	747	836
472	749	834
473	750	832
474	751	830
475	752	828
476	753	826
477	755	824
478	756	822
479	757	820
480	758	818
481	760	816
482	761	814
483	762	812
484	763	810
485	764	808
486	765	806
487	766	804
488	768	802
489	769	800
490	770	798
491	771	796
492	772	794
493	773	792
494	775	790
495	776	788
496	777	786
497	778	784
498	779	783
499	781	781
500	782	779
501	783	777
502	784	775
503	785	773
504	786	771
505	787	769
506	788	767
507	790	765
508	791	763
509	792	761
510	793	759
511	794	757
512	795	755
513	797	753
514	798	751
515	799	749
516	800	747
517	801	746
518	802	744
519	804	742
520	805	740
521	806	738
522	807	736
523	808	734
524	809	732
525	811	731
526	812	729
527	813	727
528	814	725
529	815	723
530	816	721
531	818	719
532	819	718
533	820	716
534	821	714
535	823	712
536	824	710
537	825	708
538	826	707
539	827	705
540	828	703
541	830	701
542	831	699
543	832	698
544	833	696
545	835	694
546	836	692
547	837	691
548	839	689
549	840	687
550	842	686
551	843	684
552	844	682
553	845	680
554	846	678
555	848	677
556	849	675
557	851	674
558	852	672
559	853	670
560	854	668
561	856	667
562	857	665
563	858	663
564	859	661
565	861	660
566	862	658
567	863	656
568	864	655
569	866	653
570	867	652
571	869	650
572	870	648
573	871	646
574	872	645
575	874	643
576	875	641
577	876	640
578	877	638
579	879	636
580	880	635
581	881	633
582	882	631
583	884	629
584	885	628
585	887	626
586	888	624
587	889	623
588	890	621
589	892	619
590	893	618
591	894	616
592	895	614
593	897	613
594	898	611
595	899	609
596	900	607
597	901	606
598	903	605
599	905	603
600	906	601
601	907	600
602	909	598
603	910	597
604	911	595
605	913	593
606	914	591
607	915	590
608	916	588
609	918	587
610	919	585
611	920	583
612	922	582
613	923	580
614	924	578
615	925	577
616	926	575
617	928	573
618	929	572
619	930	570
620	931	568
621	932	566
622	934	565
623	935	563
624	936	562
625	937	560
626	939	558
627	940	556
628	941	555
629	942	553
630	944	552
631	945	550
632	946	548
633	947	547
634	949	545
635	951	544
636	954	543
637	955	542
638	956	540
639	958	539
640	960	537
641	961	536
642	963	534
643	964	533
644	965	531
645	967	530
646	968	528
647	970	527
648	973	526
649	974	524
650	976	523
651	977	521
652	979	520
653	981	519
654	982	517
655	984	516
656	985	514
657	987	513
658	988	511
659	991	510
660	993	509
661	994	507
662	995	506
663	997	504
664	999	503
665	1000	501
666	1002	500
667	1003	498
668	1004	497
669	1005	495
670	1007	493
671	1008	492
672	1010	490
673	1011	489
674	1012	487
675	1014	486
676	1015	484
677	1017	483
678	1018	481
679	1020	480
680	1021	478
681	1022	476
682	1024	475
683	1025	473
684	1026	471
685	1027	470
686	1028	468
687	1030	467
688	1031	465
689	1032	464
690	1034	462
691	1036	461
692	1037	459
693	1039	458
694	1041	457
695	1042	455
696	1044	453
697	1045	452
698	1046	450
699	1047	449
700	1049	447
701	1050	445
702	1051	444
703	1053	442
704	1054	441
705	1056	440
706	1057	438
707	1059	436
708	1060	435
709	1062	433
710	1063	432
711	1065	430
712	1066	429
713	1067	427
714	1069	426
715	1070	424
716	1071	422
717	1072	421
718	1074	419
719	1075	418
720	1076	416
721	1077	414
722	1078	413
723	1080	411
724	1081	410
725	1082	408
726	1083	406
727	1084	405
728	1086	403
729	1087	402
730	1088	400
731	1089	399
732	1091	397
733	1092	395
734	1093	394
735	1094	392
736	1095	391
737	1098	389
738	1099	388
739	1101	386
740	1104	385
741	1105	384
742	1106	382
743	1108	381
744	1109	379
745	1111	378
746	1112	376
747	1113	375
748	1115	373
749	1116	372
750	1118	370
751	1119	369
752	1120	367
753	1122	366
754	1123	364
755	1124	362
756	1125	361
757	1127	359
758	1128	358
759	1130	356
760	1131	355
761	1132	353
762	1134	352
763	1135	350
764	1136	349
765	1137	347
766	1139	346
767	1141	344
768	1142	343
769	1143	341
770	1144	340
771	1145	338
772	1147	336
773	1148	335
774	1149	333
775	1150	332
776	1151	330
777	1153	329
778	1154	327
779	1155	325
780	1156	324
781	1157	322
782	1159	321
783	1160	319
784	1161	318
785	1162	316
786	1163	315
787	1165	313
788	1166	311
789	1167	310
790	1168	308
791	1170	307
792	1171	305
793	1172	304
794	1174	302
795	1175	301
796	1176	299
797	1178	298
798	1179	296
799	1180	295
800	1181	293
801	1183	292
802	1184	290
803	1185	289
804	1187	287
805	1188	286
806	1189	284
807	1191	283
808	1192	281
809	1194	280
810	1195	278
811	1196	277
812	1198	275
813	1199	274
814	1200	272
815	1201	270
816	1203	269
817	1204	267
818	1205	266
819	1206	264
820	1207	263
821	1209	261
822	1210	260
823	1211	258
824	1212	257
825	1214	255
826	1215	254
827	1217	252
828	1218	251
829	1219	249
830	1220	248
831	1222	246
832	1223	245
833	1224	243
834	1225	242
835	1227	240
836	1228	239
837	1229	237
838	1230	236
839	1231	234
840	1233	233
841	1234	231
842	1235	230
843	1237	228
844	1238	227
845	1240	225
846	1241	224
847	1242	222
848	1243	221
849	1245	219
850	1246	218
851	1247	216
852	1248	215
853	1249	213
854	1251	212
855	1252	210
856	1253	209
857	1254	207
858	1255	206
859	1257	204
860	1258	203
861	1259	201
862	1260	200
863	1262	198
864	1263	197
865	1264	195
866	1265	194
867	1267	192
868	1268	191
869	1269	189
870	1270	188
871	1272	186
872	1273	185
873	1274	183
874	1275	182
875	1277	180
876	1278	179
877	1279	177
878	1280	176
879	1281	174
880	1283	173
881	1284	171
882	1285	170
883	1286	168
884	1288	167
885	1289	165
886	1290	164
887	1292	162
888	1293	161
889	1294	160
890	1296	158
891	1297	157
892	1298	155
893	1300	154
894	1301	152
895	1302	151
896	1303	149
897	1305	148
898	1306	146
899	1307	145
900	1308	143
901	1310	142
902	1311	140
903	1312	139
904	1313	137
905	1314	136
906	1316	134
907	1317	133
908	1318	132
909	1320	130
910	1321	129
911	1322	127
912	1323	126
913	1325	124
914	1326	123
915	1327	121
916	1328	120
917	1330	118
918	1331	117
919	1332	115
920	1333	114
921	1335	112
922	1336	111
923	1337	110
924	1339	108
925	1340	107
926	1341	105
927	1343	104
928	1344	102
929	1346	101
930	1348	99
931	1349	98
932	1350	96
933	1352	95
934	1353	94
935	1354	92
936	1356	91
937	1357	89
938	1358	88
939	1360	86
940	1361	85
941	1362	83
942	1364	82
943	1365	81
944	1367	79
945	1368	78
946	1369	76
947	1371	75
948	1372	73
949	1373	72
950	1375	70
951	1377	69
952	1378	68
953	1380	66
954	1381	65
955	1383	63
956	1384	62
957	1385	60
958	1387	59
959	1388	57
960	1390	56
961	1391	54
962	1392	53
963	1393	52
964	1395	50
965	1396	49
966	1397	47
967	1398	46
968	1399	44
969	1401	43
970	1402	41
971	1403	40
972	1404	38
973	1405	37
974	1407	36
975	1408	34
976	1409	33
977	1410	31
978	1412	30
979	1413	28
980	1414	27
981	1416	25
982	1417	24
983	1418	23
984	1420	21
985	1421	20
986	1422	18
987	1423	17
988	1424	15
989	1426	14
990	1427	12
991	1428	11
992	1429	10
993	1431	8
994	1432	7
995	1433	5
996	1435	4
997	1436	2
998	1437	1
999	1439	0
